RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
5,-1553214,-2205999,-11.623672,166.792539,11:37:25S,166:47:33E,58LFN9543014443,SC58-16,T,PT,,BP,0,,,,V,,,,NEDJUPOINT,Nedju Point,Nedju Point,NEDJUPOINT,Nedju Point,Nedju Point,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1553214,-2210560,-11.623672,166.792539,11:37:25S,166:47:33E,58LFN9543014443,SC58-16,T,PT,,BP,0,,,,N,,,,VONOPOINT,Vono Point,Vono Point,VONOPOINT,Vono Point,Vono Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545065,-2200075,-8.931895,160.753566,8:55:55S,160:45:13E,57LXL9280612219,SC57-04,T,ISL,,BP,0,,,,N,,,,BINAISLAND,Bina Island,Bina Island,BINAISLAND,Bina Island,Bina Island,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545065,-2200058,-8.931895,160.753566,8:55:55S,160:45:13E,57LXL9280612219,SC57-04,T,ISL,,BP,0,,,,V,,,,BILAIFAFOISLAND,Bilaifafo Island,Bilaifafo Island,BILAIFAFOISLAND,Bilaifafo Island,Bilaifafo Island,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1545065,-2201222,-8.931895,160.753566,8:55:55S,160:45:13E,57LXL9280612219,SC57-04,T,ISL,,BP,0,,,,V,,,,GUARAMALEISLAND,Guara Male Island,Guara Male Island,GUARAMALEISLAND,Guara Male Island,Guara Male Island,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1552191,-2209259,-9.107284,160.29102,9:06:26S,160:17:28E,57LXK4187193034,SC57-07,T,PT,,BP,0,,,,N,,,,TAPURUAPOINT,Tapurua Point,Tapurua Point,TAPURUAPOINT,Tapurua Point,Tapurua Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552191,-2209200,-9.107284,160.29102,9:06:26S,160:17:28E,57LXK4187193034,SC57-07,T,PT,,BP,0,,,,V,,,,TANEVPOINT,Tanev Point,Tanev Point,TANEVPOINT,Tanev Point,Tanev Point,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1552190,-2209258,-8.948442,160.070135,8:56:54S,160:04:12E,57LXL1764610677,SC57-03,T,PT,,BP,0,,,,N,,,,TAPUHUPOINT,Tapuhu Point,Tapuhu Point,TAPUHUPOINT,Tapuhu Point,Tapuhu Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552162,-2209227,-8.98988,160.140483,8:59:24S,160:08:26E,57LXL2536606072,SC57-03,T,PT,,BP,0,,,,N,,,,TANULIPOINT,Tanuli Point,Tanuli Point,TANULIPOINT,Tanuli Point,Tanuli Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552131,-2201689,-9.044184,160.06159,9:02:39S,160:03:42E,57LXL1667600093,SC57-07,T,PT,,BP,0,,,,V,,,,HORNPOINT,Horn Point,Horn Point,HORNPOINT,Horn Point,Horn Point,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1552131,-2209178,-9.044184,160.06159,9:02:39S,160:03:42E,57LXL1667600093,SC57-07,T,PT,,BP,0,,,,V,,,,TANAULAPOINT,Tanaula Point,Tanaula Point,TANAULAPOINT,Tanaula Point,Tanaula Point,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1552131,-2209188,-9.044184,160.06159,9:02:39S,160:03:42E,57LXL1667600093,SC57-07,T,PT,,BP,0,,,,N,,,,TANAVULAPOINT,Tanavula Point,Tanavula Point,TANAVULAPOINT,Tanavula Point,Tanavula Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
